Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),ISSUES (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),ISSUES (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),ISSUES (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),ISSUES (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),ISSUES (CHECK 20),STATUS (CHECK 21),TIME (CHECK 21),ISSUES (CHECK 21),STATUS (CHECK 22),TIME (CHECK 22),ISSUES (CHECK 22),STATUS (CHECK 23),TIME (CHECK 23),ISSUES (CHECK 23),DEPTH
DASH_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$22.4K / $22.4K
DOT_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$12.8K / $14.8K
DOGE_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,A2:HIGH,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$17.3K / $20.8K
ETH_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$202.0K / $212.1K
FARTCOIN_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$23.7K / $24.8K
FLOKI_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$15.3K / $16.3K
HYPE_USDT,WARNING,00:47:39,A2:HIGH,CHECKED,02:58:39,A2:HIGH,WARNING,04:14:00,A2:HIGH,WARNING,05:03:00,A2:HIGH,CHECKED,05:56:14,A2:HIGH,CHECKED,06:50:46,A2:HIGH,WARNING,08:07:04,A2:HIGH,WARNING,08:52:39,A2:HIGH,WARNING,09:54:03,A2:HIGH,WARNING,10:49:16,A2:HIGH,CHECKED,11:49:02,A2:HIGH,WARNING,12:44:11,A2:HIGH,WARNING,14:07:46,A2:HIGH,WARNING,14:51:49,A2:HIGH,CHECKED,15:48:00,A2:HIGH,WARNING,16:44:59,A2:HIGH,WARNING,17:51:03,A2:HIGH,WARNING,18:45:30,A2:HIGH,WARNING,19:56:13,A2:HIGH,CHECKED,20:44:43,A2:HIGH,WARNING,21:48:11,A2:HIGH,WARNING,22:44:59,A2:HIGH,SKIPPED,,,$26.6K / $31.4K
LINK_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,A2:HIGH,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,A2:HIGH,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$41.3K / $41.3K
LSK_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,A4:MEDIUM,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,A4:MEDIUM,CHECKED,11:49:02,,SKIPPED,,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,SKIPPED,,,CHECKED,18:45:30,A4:MEDIUM,CHECKED,19:56:13,A4:MEDIUM,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$6.4K / $8.4K
LTC_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,SKIPPED,,,$89.3K / $89.3K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$14.0K / $21.1K
POL_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$120.5K / $142.1K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$25.9K / $25.9K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,A2:HIGH,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,WARNING,14:51:49,A2:HIGH,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,A2:HIGH,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$33.8K / $48.2K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:47:39,A4:MEDIUM,CHECKED,02:58:39,A4:MEDIUM,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,A4:MEDIUM,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,A4:MEDIUM,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,A4:MEDIUM,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,A4:MEDIUM,CHECKED,16:44:59,A4:MEDIUM,CHECKED,17:51:03,,CHECKED,18:45:30,A4:MEDIUM,CHECKED,19:56:13,A4:MEDIUM,CHECKED,20:44:43,,CHECKED,21:48:11,A4:MEDIUM,CHECKED,22:44:59,A4:MEDIUM,CHECKED,23:47:50,,$5.3K / $6.0K
TON_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,A4:MEDIUM,CHECKED,05:03:00,A4:MEDIUM,CHECKED,05:56:14,,CHECKED,06:50:46,A4:MEDIUM,CHECKED,08:07:04,A4:MEDIUM,CHECKED,08:52:39,A4:MEDIUM,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,A4:MEDIUM,CHECKED,14:07:46,A4:MEDIUM,CHECKED,14:51:49,A4:MEDIUM,CHECKED,15:48:00,,CHECKED,16:44:59,A4:MEDIUM,CHECKED,17:51:03,A4:MEDIUM,CHECKED,18:45:30,A4:MEDIUM,CHECKED,19:56:13,A4:MEDIUM,CHECKED,20:44:43,A2:HIGH|A4:MEDIUM,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$5.4K / $6.6K
TRX_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$681.0K / $681.0K
USDC_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,SKIPPED,,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$680.1K / $978.4K
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$111.5K / $111.5K
XRP_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,CHECKED,22:44:59,,CHECKED,23:47:50,,$81.3K / $81.3K
